Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,2,2,1
100,2,8,2,2,1
100,5,1,12296,1024,11
100,4,8,4,2,2
100,6,2,391,32,11
100,7,4,54,4,10
100,8,8,33,2,10
100,9,16,23,1,10
100,10,32,24,1,10
100,11,32,25,1,10
100,12,32,26,1,10
100,13,32,27,1,10
100,14,32,28,1,10
930,1,8,2,2,1
930,2,8,2,2,1
930,5,1,97288,1024,94
930,4,8,4,2,2
930,6,2,3047,32,94
930,7,4,386,4,93
930,8,8,199,2,93
930,9,16,106,1,93
930,10,32,107,1,93
930,11,32,108,1,93
930,12,32,109,1,93
930,13,32,110,1,93
930,14,32,111,1,93
1760,1,8,2,2,1
1760,2,8,2,2,1
1760,5,1,182280,1024,177
1760,4,8,4,2,2
1760,6,2,5703,32,177
1760,7,4,718,4,176
1760,8,8,365,2,176
1760,9,16,189,1,176
1760,10,32,190,1,176
1760,11,32,191,1,176
1760,12,32,192,1,176
1760,13,32,193,1,176
1760,14,32,194,1,176
2650,1,8,2,2,1
2650,2,8,2,2,1
2650,5,1,273416,1024,266
2650,4,8,4,2,2
2650,6,2,8551,32,266
2650,7,4,1074,4,265
2650,8,8,543,2,265
2650,9,16,278,1,265
2650,10,32,279,1,265
2650,11,32,280,1,265
2650,12,32,281,1,265
2650,13,32,282,1,265
2650,14,32,283,1,265
3480,1,8,2,2,1
3480,2,8,2,2,1
3480,5,1,358408,1024,349
3480,4,8,4,2,2
3480,6,2,11207,32,349
3480,7,4,1406,4,348
3480,8,8,709,2,348
3480,9,16,361,1,348
3480,10,32,362,1,348
3480,11,32,363,1,348
3480,12,32,364,1,348
3480,13,32,365,1,348
3480,14,32,366,1,348
4360,1,8,2,2,1
4360,2,8,2,2,1
4360,5,1,448520,1024,437
4360,4,8,4,2,2
4360,6,2,14023,32,437
4360,7,4,1758,4,436
4360,8,8,885,2,436
4360,9,16,449,1,436
4360,10,32,450,1,436
4360,11,32,451,1,436
4360,12,32,452,1,436
4360,13,32,453,1,436
4360,14,32,454,1,436
5190,1,8,2,2,1
5190,2,8,2,2,1
5190,5,1,533512,1024,520
5190,4,8,4,2,2
5190,6,2,16679,32,520
5190,7,4,2090,4,519
5190,8,8,1051,2,519
5190,9,16,532,1,519
5190,10,32,533,1,519
5190,11,32,534,1,519
5190,12,32,535,1,519
5190,13,32,536,1,519
5190,14,32,537,1,519
6070,1,8,2,2,1
6070,2,8,2,2,1
6070,5,1,623624,1024,608
6070,4,8,4,2,2
6070,6,2,19495,32,608
6070,7,4,2442,4,607
6070,8,8,1227,2,607
6070,9,16,620,1,607
6070,10,32,621,1,607
6070,11,32,622,1,607
6070,12,32,623,1,607
6070,13,32,624,1,607
6070,14,32,625,1,607
6900,1,8,2,2,1
6900,2,8,2,2,1
6900,5,1,708616,1024,691
6900,4,8,4,2,2
6900,6,2,22151,32,691
6900,7,4,2774,4,690
6900,8,8,1393,2,690
6900,9,16,703,1,690
6900,10,32,704,1,690
6900,11,32,705,1,690
6900,12,32,706,1,690
6900,13,32,707,1,690
6900,14,32,708,1,690
7780,1,8,2,2,1
7780,2,8,2,2,1
7780,5,1,798728,1024,779
7780,4,8,4,2,2
7780,6,2,24967,32,779
7780,7,4,3126,4,778
7780,8,8,1569,2,778
7780,9,16,791,1,778
7780,10,32,792,1,778
7780,11,32,793,1,778
7780,12,32,794,1,778
7780,13,32,795,1,778
7780,14,32,796,1,778
8610,1,8,2,2,1
8610,2,8,2,2,1
8610,5,1,883720,1024,862
8610,4,8,4,2,2
8610,6,2,27623,32,862
8610,7,4,3458,4,861
8610,8,8,1735,2,861
8610,9,16,874,1,861
8610,10,32,875,1,861
8610,11,32,876,1,861
8610,12,32,877,1,861
8610,13,32,878,1,861
8610,14,32,879,1,861
9490,1,8,2,2,1
9490,2,8,2,2,1
9490,5,1,973832,1024,950
9490,4,8,4,2,2
9490,6,2,30439,32,950
9490,7,4,3810,4,949
9490,8,8,1911,2,949
9490,9,16,962,1,949
9490,10,32,963,1,949
9490,11,32,964,1,949
9490,12,32,965,1,949
9490,13,32,966,1,949
9490,14,32,967,1,949
10320,1,8,2,2,1
10320,2,8,2,2,1
10320,5,1,1058824,1024,1033
10320,4,8,4,2,2
10320,6,2,33095,32,1033
10320,7,4,4142,4,1032
10320,8,8,2077,2,1032
10320,9,16,1045,1,1032
10320,10,32,1046,1,1032
10320,11,32,1047,1,1032
10320,12,32,1048,1,1032
10320,13,32,1049,1,1032
10320,14,32,1050,1,1032
11200,1,8,2,2,1
11200,2,8,2,2,1
11200,5,1,1148936,1024,1121
11200,4,8,4,2,2
11200,6,2,35911,32,1121
11200,7,4,4494,4,1120
11200,8,8,2253,2,1120
11200,9,16,1133,1,1120
11200,10,32,1134,1,1120
11200,11,32,1135,1,1120
11200,12,32,1136,1,1120
11200,13,32,1137,1,1120
11200,14,32,1138,1,1120
12080,1,8,2,2,1
12080,2,8,2,2,1
12080,5,1,1239048,1024,1209
12080,4,8,4,2,2
12080,6,2,38727,32,1209
12080,7,4,4846,4,1208
12080,8,8,2429,2,1208
12080,9,16,1221,1,1208
12080,10,32,1222,1,1208
12080,11,32,1223,1,1208
12080,12,32,1224,1,1208
12080,13,32,1225,1,1208
12080,14,32,1226,1,1208
12910,1,8,2,2,1
12910,2,8,2,2,1
12910,5,1,1324040,1024,1292
12910,4,8,4,2,2
12910,6,2,41383,32,1292
12910,7,4,5178,4,1291
12910,8,8,2595,2,1291
12910,9,16,1304,1,1291
12910,10,32,1305,1,1291
12910,11,32,1306,1,1291
12910,12,32,1307,1,1291
12910,13,32,1308,1,1291
12910,14,32,1309,1,1291
13790,1,8,2,2,1
13790,2,8,2,2,1
13790,5,1,1414152,1024,1380
13790,4,8,4,2,2
13790,6,2,44199,32,1380
13790,7,4,5530,4,1379
13790,8,8,2771,2,1379
13790,9,16,1392,1,1379
13790,10,32,1393,1,1379
13790,11,32,1394,1,1379
13790,12,32,1395,1,1379
13790,13,32,1396,1,1379
13790,14,32,1397,1,1379
14620,1,8,2,2,1
14620,2,8,2,2,1
14620,5,1,1499144,1024,1463
14620,4,8,4,2,2
14620,6,2,46855,32,1463
14620,7,4,5862,4,1462
14620,8,8,2937,2,1462
14620,9,16,1475,1,1462
14620,10,32,1476,1,1462
14620,11,32,1477,1,1462
14620,12,32,1478,1,1462
14620,13,32,1479,1,1462
14620,14,32,1480,1,1462
15480,1,8,2,2,1
15480,2,8,2,2,1
15480,5,1,1587208,1024,1549
15480,4,8,4,2,2
15480,6,2,49607,32,1549
15480,7,4,6206,4,1548
15480,8,8,3109,2,1548
15480,9,16,1561,1,1548
15480,10,32,1562,1,1548
15480,11,32,1563,1,1548
15480,12,32,1564,1,1548
15480,13,32,1565,1,1548
15480,14,32,1566,1,1548
16310,1,8,2,2,1
16310,2,8,2,2,1
16310,5,1,1672200,1024,1632
16310,4,8,4,2,2
16310,6,2,52263,32,1632
16310,7,4,6538,4,1631
16310,8,8,3275,2,1631
16310,9,16,1644,1,1631
16310,10,32,1645,1,1631
16310,11,32,1646,1,1631
16310,12,32,1647,1,1631
16310,13,32,1648,1,1631
16310,14,32,1649,1,1631
17170,1,8,2,2,1
17170,2,8,2,2,1
17170,5,1,1760264,1024,1718
17170,4,8,4,2,2
17170,6,2,55015,32,1718
17170,7,4,6882,4,1717
17170,8,8,3447,2,1717
17170,9,16,1730,1,1717
17170,10,32,1731,1,1717
17170,11,32,1732,1,1717
17170,12,32,1733,1,1717
17170,13,32,1734,1,1717
17170,14,32,1735,1,1717
17170,15,8,0,2,0
17170,16,8,0,2,0
17170,17,8,0,2,0
17170,18,8,0,2,0
17170,19,8,0,2,0
17170,20,8,0,2,0
19155,1,8,2,2,1
19155,2,8,2,2,1
19155,5,1,1887240,1024,1842
19155,4,8,6,2,3
19155,6,2,58983,32,1842
19155,7,4,7378,4,1841
19155,8,8,3695,2,1841
19155,9,16,1854,1,1841
19155,10,32,1855,1,1841
19155,11,32,1856,1,1841
19155,12,32,1857,1,1841
19155,13,32,1858,1,1841
19155,14,32,1859,1,1841
19155,15,32,17314,1,124
19155,16,32,17315,1,124
19155,17,8,17441,2,124
19155,18,2,21192,32,124
19155,19,8,17443,2,124
19155,20,8,17444,2,124
21187,1,8,2,2,1
21187,2,8,2,2,1
21187,5,1,2017288,1024,1969
21187,4,8,6,2,3
21187,6,2,63047,32,1969
21187,7,4,7886,4,1968
21187,8,8,3949,2,1968
21187,9,16,1981,1,1968
21187,10,32,1982,1,1968
21187,11,32,1983,1,1968
21187,12,32,1984,1,1968
21187,13,32,1985,1,1968
21187,14,32,1986,1,1968
21187,15,32,17441,1,251
21187,16,32,17442,1,251
21187,17,8,17695,2,251
21187,18,2,25256,32,251
21187,19,8,17697,2,251
21187,20,8,17698,2,251
23075,1,8,2,2,1
