Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,4,2,2
100,2,8,1272,2,636
100,5,1,3327,1024,1
100,4,8,4,2,2
100,6,2,1344,32,1
100,7,4,1305,4,5
100,8,8,1302,2,9
100,9,16,1301,1,17
100,10,32,1301,1,16
100,11,32,1301,1,15
100,12,32,1301,1,14
100,13,32,1302,1,14
100,14,32,1302,1,13
228,1,8,4,2,2
228,2,8,1272,2,636
228,5,1,3327,1024,1
228,4,8,4,2,2
228,6,2,1344,32,1
228,7,4,1321,4,9
228,8,8,1322,2,19
228,9,16,1320,1,36
228,10,32,1320,1,35
228,11,32,1320,1,34
228,12,32,1320,1,33
228,13,32,1321,1,33
228,14,32,1321,1,32
362,1,8,4,2,2
362,2,8,1272,2,636
362,5,1,3327,1024,1
362,4,8,4,2,2
362,6,2,1344,32,1
362,7,4,1341,4,14
362,8,8,1342,2,29
362,9,16,1340,1,56
362,10,32,1340,1,55
362,11,32,1340,1,54
362,12,32,1340,1,53
362,13,32,1340,1,52
362,14,32,1341,1,52
490,1,8,4,2,2
490,2,8,1272,2,636
490,5,1,3327,1024,1
490,4,8,4,2,2
490,6,2,1376,32,2
490,7,4,1361,4,19
490,8,8,1360,2,38
490,9,16,1359,1,75
490,10,32,1359,1,74
490,11,32,1359,1,73
490,12,32,1359,1,72
490,13,32,1359,1,71
490,14,32,1359,1,70
618,1,8,4,2,2
618,2,8,1272,2,636
618,5,1,3327,1024,1
618,4,8,4,2,2
618,6,2,1408,32,3
618,7,4,1381,4,24
618,8,8,1378,2,47
618,9,16,1377,1,93
618,10,32,1378,1,93
618,11,32,1378,1,92
618,12,32,1378,1,91
618,13,32,1378,1,90
618,14,32,1378,1,89
751,1,8,4,2,2
751,2,8,1272,2,636
751,5,1,3327,1024,1
751,4,8,4,2,2
751,6,2,1408,32,3
751,7,4,1401,4,29
751,8,8,1398,2,57
751,9,16,1397,1,113
751,10,32,1397,1,112
751,11,32,1397,1,111
751,12,32,1398,1,111
751,13,32,1398,1,110
751,14,32,1398,1,109
879,1,8,4,2,2
879,2,8,1272,2,636
879,5,1,3327,1024,1
879,4,8,4,2,2
879,6,2,1440,32,4
879,7,4,1417,4,33
879,8,8,1418,2,67
879,9,16,1416,1,132
879,10,32,1416,1,131
879,11,32,1416,1,130
879,12,32,1416,1,129
879,13,32,1417,1,129
879,14,32,1417,1,128
1012,1,8,4,2,2
1012,2,8,1272,2,636
1012,5,1,3327,1024,1
1012,4,8,4,2,2
1012,6,2,1440,32,4
1012,7,4,1437,4,38
1012,8,8,1438,2,77
1012,9,16,1436,1,152
1012,10,32,1436,1,151
1012,11,32,1436,1,150
